iter	Passed	Remaining
510510	398	3511511	399	3512512	399	3513	397	375
514	397	374
515515	401	3516516	402	3517517	402	3518518	403	374
519	404	373
520	405	372
521	405	371
522	406	370
523	407	369
524	408	369
525	408	368
526	409	367
527	410	366
528	410	365
529	411	364
530	411	363
531	412	362
532	413	362
533	413	361
534	414	360
535	415	359
536	416	358
537	417	358
538	417	357
539	418	356
540	419	355
541	419	354
542	420	353
543	420	3544544	421	3545545	422	3546546	422	3547547	423	3548548	424	3549549	424	3550550	425	3551551	425	3552552	426	3553553	427	3554554	427	3555555	428	342
556	429	341
557	429	340
558	430	339
559	431	338
560	432	338
561	432	337
562	433	336
563	434	335
564	434	334
565	435	333
566	436	333
567	436	332
568	437	331
569	438	330
570	438	329
571	439	328
572	440	327
573	440	327
574	441	326
575	442	325
576	442	324
577	443	323
578	444	323
579	444	322
580	446	321
581	446	320
582	447	320
583	448	319
584	448	318
585	449	317
586	450	316
587	450	315
588	451	315
589	452	314
590	452	313
591	453	312
592	453	311
593	454	310
594	455	309
595	456	309
596	457	308
597	457	307
598	458	306
599	459	306
600	459	305
601	460	304
602	461	303
603	461	302
604	462	301
605	463	301
606	463	300
607	464	299
608	464	298
609	465	297
610	466	296
611	467	296
612	467	295
613	468	294
614	469	293
615	469	292
616	470	291
617	471	291
618	471	290
619	472	289
620	472	288
621	473	287
622	474	286
623	476	286
624	476	286
625	477	285
626	478	284
627	478	283
628	479	282
629	480	281
630	481	281
631	481	280
632	482	279
633	483	278
634	484	278
635	484	277
636	485	276
637	486	275
638	487	275
639	487	274
640	488	273
641	489	272
642	490	272
643	490	271
644	491	270
645	492	269
646	492	268
647	493	267
648	493	267
649	494	266
650	496	266
651	497	265
652	497	264
653	498	263
654	499	262
655	499	262
656	500	261
657	500	260
658	501	259
659	502	258
660	502	257
661	503	257
662	504	256
663	504	255
664	505	254
665	506	253
666	507	253
667	507	252
668	508	251
669	509	250
670	509	249
671	510	249
672	511	248
673	511	247
674	512	246
675	513	246
676	513	245
677	514	244
678	515	243
679	516	243
680	517	242
681	517	241
682	518	240
683	519	239
684	519	238
685	520	238
686	520	237
687	521	236
688	522	235
689	522	234
690	523	234
691	523	233
692	524	232
693	525	231
694	525	230
695	526	229
696	526	229
697	527	228
698	528	227
699	528	226
700	529	225
701	530	225
702	530	224
703	531	223
704	532	222
705	532	221
706	533	221
707	535	220
708	535	219
709	536	219
710	536	218
711	537	217
712	538	216
713	538	215
714	539	215
715	540	214
716	540	213
717	541	212
718	542	211
719	542	211
720	543	210
721	543	209
722	544	208
723	545	207
724	545	207
725	546	206
726	547	205
727	547	204
728	548	203
729	549	203
730	550	202
731	550	201
732	551	200
733	552	200
734	553	199
735	553	198
736	554	197
737	554	197
738	555	196
739	556	195
740	556	194
741	557	193
742	558	193
743	558	192
744	560	191
745	560	190
746	561	190
747	562	189
748	562	188
749	563	187
750	563	186
751	564	186
752	564	185
753	565	184
754	566	183
755	566	182
756	567	182
757	568	181
758	568	180
759	570	180
760	570	179
761	571	178
762	571	177
763	572	176
764	573	176
765	573	175
766	574	174
767	575	173
768	575	173
769	576	172
770	577	171
771	577	170
772	578	169
773	579	169
774	580	168
775	581	167
776	581	166
777	582	166
778	583	165
779	584	164
780	585	164
781	585	163
782	586	162
783	586	161
784	587	160
785	588	160
786	588	159
787	589	158
788	590	157
789	590	157
790	591	156
791	592	155
792	592	154
793	593	153
794	593	153
795	594	152
796	594	151
797	595	150
798	596	149
799	596	149
800	597	148
801	598	147
802	599	147
803	599	146
804	600	145
805	601	144
806	601	143
807	602	143
808	602	142
809	603	141
810	604	140
811	605	140
812	605	139
813	606	138
814	607	137
815	607	137
816	609	136
817	609	135
818	610	134
819	610	134
820	611	133
821	612	132
822	612	131
823	613	131
824	614	130
825	614	129
826	615	128
827	616	127
828	616	127
829	617	126
830	618	125
831	619	125
832	620	124
833	620	123
834	621	122
835	621	121
836	622	121
837	622	120
838	623	119
839	624	118
840	624	118
841	625	117
842	625	116
843	626	115
844	627	115
845	628	114
846	628	113
847	629	112
848	629	112
849	630	111
850	631	110
851	631	109
852	632	109
853	633	108
854	633	107
855	634	106
856	635	105
857	635	105
858	636	104
859	637	103
860	637	102
861	638	102
862	639	101
863	640	100
864	640	100
865	641	99
866	641	98
867	642	97
868	643	96
869	643	96
870	644	95
871	645	94
872	645	93
873	647	93
874	648	92
875	648	91
876	649	91
877	649	90
878	650	89
879	651	88
880	653	88
881	653	87
882	654	86
883	655	86
884	656	85
885	657	84
886	657	83
887	658	83
888	659	82
889	659	81
890	660	80
891	661	80
892	661	79
893	662	78
894	663	77
895	664	77
896	664	76
897	665	75
898	666	74
899	666	74
900	667	73
901	668	72
902	668	71
903	669	71
904	670	70
905	670	69
906	671	68
907	672	68
908	673	67
909	673	66
910	674	65
911	675	65
912	675	64
913	676	63
914	677	62
915	677	62
916	678	61
917	679	60
918	679	59
919	680	59
920	681	58
921	684	57
922	685	57
923	686	56
924	686	55
925	687	54
926	688	54
927	689	53
928	690	52
929	690	52
930	691	51
931	692	50
932	692	49
933	693	48
934	694	48
935	695	47
936	695	46
937	696	46
938	697	45
939	697	44
940	698	43
941	699	43
942	699	42
943	700	41
944	701	40
945	702	40
946	702	39
947	703	38
948	704	37
949	705	37
950	705	36
951	706	35
952	706	34
953	707	34
954	708	33
955	709	32
956	710	31
957	710	31
958	711	30
959	712	29
960	713	28
961	713	28
962	714	27
963	714	26
964	715	25
965	716	25
966	717	24
967	717	23
968	718	23
969	719	22
970	720	21
971	720	20
972	721	20
973	722	19
974	723	18
975	723	17
976	724	17
977	724	16
978	725	15
979	726	14
980	727	14
981	728	13
982	728	12
983	729	11
984	729	11
985	730	10
986	731	9
987	731	8
988	732	8
989	733	7
990	733	6
991	734	5
992	735	5
993	735	4
994	736	3
995	737	2
996	738	2
997	738	1
998	739	0
999	739	0
